ticket_id,customer_name,subject,description,priority,created_at
CFPB-12231978,CFPB Consumer,Credit reporting or other personal consumer reports - Incorrect information on your report: Account status incorrect,"I am writing to file a formal complaint regarding unauthorized accounts appearing on my credit report. Despite my repeated attempts to have these accounts removed, they persist, causing significant damage to my financial reputation and well-being. The accounts in question are in clear violation of XXXX XXXX XXXX regarding permissible purposes. It is evident that the credit bureaus have no permissible purpose to report these fraudulent items without my explicit consent. Please see attached file for these items I am complaining.",medium,2025-02-26
CFPB-12774347,CFPB Consumer,Credit reporting or other personal consumer reports - Problem with a company's investigation into an existing problem: Investigation took more than 30 days,I am writing to inform you that I have recently become a victim of a data breach that has compromised my personal information. This incident has caused me significant concern regarding the security of my sensitive data. Data breach has led to fraudulent accounts and debts being created in my name. I would appreciate it if you could consider this situation while reviewing my credit report and take the appropriate actions to correct any inaccuracies or fraudulent activities.,medium,2025-04-02
CFPB-8847426,CFPB Consumer,Credit reporting or other personal consumer reports - Incorrect information on your report: Information belongs to someone else,I have no affiliation with the listed creditors and did not initiate this inquiry. Please remove it from my credit report immediately.,low,2024-04-24
CFPB-2185596,CFPB Consumer,Credit card - Billing disputes,"Maintained a credit card with Discover Financial services, for 3+ years and did n't file a fraud complaint until 2 months ago. After filing a fraud affidavit and sending the fraud department supporting documentation, Discover Financial Services sent me 5 confirmation letters stating my funds have been credited as of the beginning of XXXX 2016. Upon checking my account everyday since beginning of XXXX, no funds have been credited. Discover financial services owes me over XXXX XXXX dollars in credits. 

Publish this complaint publicly, on the CFPB website, so consumers can publicly view the fraudulent tactics Discover Financial Services considers business as usual.",medium,2016-10-29
CFPB-14930495,CFPB Consumer,Credit reporting or other personal consumer reports - Incorrect information on your report: Information belongs to someone else,"Please delete these unauthorized accounts from my credit report, as I neither approved their creation nor was aware of them. Per USC 1681g, I request their removal within 15 days. Attached are supporting documents.",medium,2025-07-28
CFPB-13107124,CFPB Consumer,Credit reporting or other personal consumer reports - Improper use of your report: Credit inquiries on your report that you don't recognize,"I did not authorize these accounts, for I am a victim of the data breach, and all of my personal information was exposed in the breach and has been used. By understanding my right to privacy under the Fair Credit Reporting Act. I did not authorize these items listed. I demand that these items be removed from my credit report through all the credit bureaus. I understand that the creditor bought debt without my wet signature for pennies on the dollar. I know that I am protected under 15 U.S.C Sec 1681i ( a ) by",low,2025-04-22
CFPB-13344026,CFPB Consumer,Credit reporting or other personal consumer reports - Problem with a company's investigation into an existing problem: Problem with personal statement of dispute,"This is my FINAL notice of demand regarding the alleged debt tied to my vehicle loan. Based on newly obtained filings from the U.S. Securities and Exchange Commission ( SEC ), including your Form ABS-15G and 10-K filings, it is clear that XXXX XXXX securitizes auto loans and may no longer legally own or have standing to collect on this debt.

SECURITIZATION = TRANSFERRED OWNERSHIP Your Form ABS-15G filed on XX/XX/year>, confirms that XXXX XXXX acted as a securitizer in the auto loan asset class under Rule 15Ga-1. This indicates my auto loan may have been : Sold to a trust or SPV ( special purpose vehicle ) Converted into a security, And is now owned by investors, such as XXXX XXXX XXXX, as disclosed in your Schedule 13G filing. 

If XXXX XXXX no longer holds legal title, and merely acts as a servicer, you are in violation of 15 U.S.C. 1692e ( 2 ) ( A ) of the FDCPA for misrepresenting the character or legal status of the debt, and possibly TILA 15 U.S.C. 1641 ( g ) by failing to disclose assignment to the debtor.

FORMAL DEMAND FOR DOCUMENTATION : You are hereby directed to produce, in writing : 1. Full Chain of Assignment From loan origination through all sales or transfers 2. Trust or Pool Information If securitized, provide trust name, XXXX  number, closing date, and a copy of the Pooling and Servicing Agreement ( PSA ) 3. Proof of Standing Legal proof that XXXX XXXX currently owns the debt, not merely services it 4. Dates Date of first delinquency, date of last payment, and current legal holder of title DEMAND FOR REFUND & CESSATION If you can not verify ownership or legal standing : Cease and desist all collection activity under 15 U.S.C. 1692c ( c ) Delete all reporting to any credit bureaus under 15 U.S.C. 1681s-2 Issue a full refund of payments collected after the loan was transferred or securitized Remove all internal and third-party contact attempts Failure to comply within 10 business days from the date of this letter will result in : Filing with the FTC, SEC, and State Attorney General Civil litigation seeking monetary damages, legal fees, and punitive relief NOTICE OF PRESERVATION You are instructed to preserve all documents related to this account, including but not limited to securitization records, assignments, internal notes, emails, and payment logs, as this matter may lead to formal litigation.",medium,2025-05-06
CFPB-9276374,CFPB Consumer,Debt collection - Attempts to collect debt not owed: Debt is not yours,This company contacted me stating I owed a debt that didn't exist. I contacted the original healthcare provider to confirm this. The healthcare provider sent all supporting documents showing I owe no debts. This company stated to provide all supporting documents in which I did. Now they are not responding to me when I ask for confirmation. I have sent four emails asking for assistance. They only continue to send me letters in the mail and ignore what I have provided.,medium,2024-06-17
CFPB-8881555,CFPB Consumer,Credit reporting or other personal consumer reports - Improper use of your report: Reporting company used your report improperly,"To Whom It May Concern : I was in the process of applying for new employment and it was brought to my attention that there is some inaccurate information reporting on my credit report.I received a copy of my credit report and to my surprise I saw all these inaccurate items that are not correct. By the way I hope that this does not hinder my ability to obtain employment due to this inaccurate information showing. I was advised by a legal friend of mine that under 15 US Code 1681a section 603 ( k ) ( b ) ( ii ) can be considered an adverse action.

Therefore I want the following accounts to be updated to the correct amount, date, status, open and closed date, last date of activity and time.

If you can not complete this request, please delete the accounts immediately. I have provided an exhibit of evidence showing the inaccuracies of my reports.

Please investigate if every piece of information is correct. If not, please remove it from my credit report. 

XXXX there is some inaccurate information reporting XXXX Account Number : XXXX Please remove it from my credit report. 


2. 15 U.S. CODE 1692E 10 - FALSE OR MISLEADING REPRESENTATIONS XXXX Account Number : XXXX Delete this account. 


XXXX. 15 U.S. CODE 1692E 10 - FALSE OR MISLEADING REPRESENTATIONS GRAIN XXXX XXXX Account Number : XXXX Please remove it from my credit report. 


XXXX. 15 U.S. CODE 1692G - VALIDATION OF DEBTS XXXX XXXX XXXX  Account Number : XXXX Please remove it from my credit report. 


5. 15 U.S. CODE 1681B - PERMISSIBLE PURPOSES OF CONSUMER REPORTS XXXX Date of inquiry : XX/XX/XXXX Please remove it from my credit report. 


6. 15 U.S. CODE 1681B - PERMISSIBLE PURPOSES OF CONSUMER REPORTS XXXXXXXX XXXX Date of inquiry : XX/XX/XXXX Please remove it from my credit report. 


7. 15 U.S. CODE 1681B - PERMISSIBLE PURPOSES OF CONSUMER REPORTS CREDIT XXXX XXXX XXXX  Date of inquiry : XX/XX/XXXX Please remove it from my credit report. 


8. 15 U.S. CODE 1681B - PERMISSIBLE PURPOSES OF CONSUMER REPORTS CREDIT XXXXXXXX XXXX XXXX  Date of inquiry : XX/XX/XXXX Please remove it from my credit report. 


XXXX. 15 U.S. CODE 1681B - PERMISSIBLE PURPOSES OF CONSUMER REPORTS EXPERIAN BUSINESS CRED Date of inquiry : XX/XX/XXXX Please remove it from my credit report.",medium,2024-04-29
CFPB-6572773,CFPB Consumer,"Credit reporting, credit repair services, or other personal consumer reports - Incorrect information on your report: Account information incorrect","RE : State, ex Rel. Attorney General as Notice of Rescission of Signature for Cease and Desist caused by Predatory Debt Collection Operation, I am writing to shed light on a company that I feel is operating unfairly. I see this as unfair and it appears deceptive. I feel I was targeted for unauthorized use of my signature caused by making false and misleading representations due to engaging in various abusive and unfair practices. I am able to fight this but what about the elderly and the infirm who depend on these products or services and are taken advantage of by this type of financing for alleged debts. I do think this is an unfair practice for all consumers. This builds distrust. I will never do business with this dishonorable company again as I feel they failed to provide validation of debts, proof for legally binding signature as a valid contract, and lack of due process as adequate notification of contract changes. This pattern of dishonest practice acts, although maybe legal, is not fair. Please take a look at this companys practices as adverse actions. Please feel free to forward and share this deprivation of rights complaint with the Office of the Comptroller of Currency for full-scale and complete intensive investigations. I declare under penalty of perjury under the laws of the United States of America that the foregoing is true and correct. Executed on todays date.",medium,2023-02-14
CFPB-4460019,CFPB Consumer,"Credit reporting, credit repair services, or other personal consumer reports - Improper use of your report: Reporting company used your report improperly","I, the consumer, in fact, have a right to privacy pursuant to 15 USC 1681 ( a ) ( 4 ). My privacy is violated by the following company Transunion. I have informed the consumer reporting agency TransUnion by mail of the specific accounts they are continuing to report in violation of 15 USC 1681 ( a ) ( 4 ).",medium,2021-06-14
CFPB-2040678,CFPB Consumer,"Mortgage - Application, originator, mortgage broker","First of let me say for a manager to start yelling at a customer is beyond belief. I reluctantly dealt with XXXX and it was one of the worst things I could do. She constantly made excuses, would not call me back or answer questions. I got answers from another lender. She told me that I did not qualify for a loan because the loan to debt ratio was XXXX. Another lender told me XXXX, and I called her numerous times because I wanted to know, would I qualify if I paid off my XXXX car loan. So it would not be considered debt if it were not there. She never even mentioned any other options after running my credit. She is unprofessional, rude and loud. She got angry because I questioned her lack of customer service, went off on me as though she was some street fighter and frankly she only embarrassed herself! Please allow me to send you the emails where she tried to send me to another company. I did not want to deal with her ecause of her poor customer service and you will see that in the emails. I cant believe you have such an unprofessional person in your employ. I would like to speak to the President of the company. She lied and manipulated me into allowing her to r run my credit information. I sent her all of the documentation and she claimed that she looked it over BEFORE to see if it were feasible to run my credit which I do n't believe she did. All she was interested in was running my credit. Also to try to send me to another lender without even trying to earn my business is disturbing. The emails outline the fact that she was ignoring me and I had to get answers from another lender. She never even gave me any alternatives to make the loan work. 
despite all of this, no 'PROFESSIONAL ' has the right to yell at a customer., tell them anything to run their credit then abandon the customer Here is her information XXXX XXXX , Sales Manager/Mortgage Loan Originator, XXXX # XXXX HomeBridge Financial Services , Inc . 
XXXX Member Preferred Lender XXXX XXXX XXXX XXXX XXXX, NJ XXXX o : XXXX c : XXXX f : XXXX e : XXXXXXXXXXXX",medium,2016-08-01
CFPB-8314386,CFPB Consumer,Credit reporting or other personal consumer reports - Improper use of your report: Reporting company used your report improperly,"In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681.

15 U.S.C 1681 section 602 A. States I have the right to privacy.

15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years.

15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",low,2024-02-09
CFPB-8845056,CFPB Consumer,Debt collection - Written notification about debt: Notification didn't disclose it was an attempt to collect a debt,"I recognize the importance of removing any inaccurate accounts from my credit report in accordance with FCRA 605B. Could you please review the documents? I've observed discrepancies in several listed accounts, which is troubling to me.",low,2024-04-24
CFPB-6475275,CFPB Consumer,Checking or savings account - Managing an account: Fee problem,No matter how many times I used my card they was charging me additional fees.,medium,2023-01-23
CFPB-2914402,CFPB Consumer,"Credit reporting, credit repair services, or other personal consumer reports - Incorrect information on your report: Account status incorrect","Was told by Navient Corp that my loans were in forbearance but Navient proceeded to report late payments for 90 days from XX/XX/XXXX-XX/XX/XXXX. Loans should have never been in forbearance and should  have had a grace period starting in XX/XX/XXXX ( year I graduated ). 

Now I also just paid off my last loan balance and Navient for some reason charged me an additional {$97.00}. This needs to be refunded back to me as soon as possible.",medium,2018-05-23
CFPB-3964415,CFPB Consumer,Debt collection - Written notification about debt: Didn't receive enough information to verify debt,"Dispute Timeline I noticed on my credit report a collections account from American Capital ENT claiming I owe {$1800.00}. This debt is not mine and they will not respond to my request to remove this fraudulent item from my credit report.

File Name : Dispute Letter 1 XXXX XX/XX/XXXX 1st Dispute letter mailed on XX/XX/2020, with no response. 

File Name : USPS Certified Mail Receipt Receipt for 1st Dispute Letter being sent.

File Name : USPS Tracking Date Letter Received XX/XX/XXXX 1st Letter received by American Capital on XX/XX/2020. 

File Name : Credit Report American Capital XXXX XX/XX/XXXX I downloaded my credit report dated XX/XX/2020, with no mention in the comment section account being disputed by the consumer. 

File Name : Credit Report American Capital XXXX XX/XX/XXXX I downloaded my credit report 46 days later from the date the letter was received by American Capital, with no mention in the comment section that this account is being disputed by the consumer. 

File Name : Dispute Letter 2 XXXX XX/XX/XXXX 2nd Dispute letter sent to American Capital with no response.

File Name : USPS Certified Mail Receipt XX/XX/XXXX - Receipt for 2nd Dispute Letter being sent. 

File Name : USPS Tracking Date Dispute Letter Received XX/XX/XXXX - 1st Letter received by American Capital on XX/XX/2020.",medium,2020-11-19
CFPB-7520222,CFPB Consumer,Credit reporting or other personal consumer reports - Improper use of your report: Reporting company used your report improperly,I sent some letters to the credit bureaus regarding inaccurate items on my credit report. My letters have been disregarded and Ive been receiving letters stating Im using a 3rd party. I have attached my ID and letters to this complaint for your review.,low,2023-09-08
CFPB-14211303,CFPB Consumer,Credit reporting or other personal consumer reports - Improper use of your report: Reporting company used your report improperly,I kindly request that you investigate this matter and correct the status of my account to reflect the timely payment. I would appreciate your confirmation once this issue has been resolved. The imposition of this charge is not only incorrect but also a violation of our agreement. Please review your records regarding this payment. I have enclosed copies of documents and attached the report to verify that the payment was processed before the due date.,medium,2025-06-23
CFPB-17452545,CFPB Consumer,Credit reporting or other personal consumer reports - Incorrect information on your report: Personal information incorrect,"I am filing this complaint because TransUnion is reporting inaccurate information on my consumer report in violation of the Fair Credit Reporting Act and Metro 2 reporting standards. The account in question is being reported incorrectly, and the current status, terminology, and data fields do not meet the required Metro 2 formatting and accuracy guidelines.

I previously disputed this information, and TransUnion failed to properly investigate and correct the inaccurate data as required under FCRA 602, 607 ( b ), and 611. The information furnished does not match my records and is not being reported consistently across all CRAs. This raises concerns about compliance with Metro 2 fields including the Account Status, Current Balance, Date of First Delinquency ( DOFD ), and Payment Rating.

Because this inaccurate data is negatively affecting my creditworthiness, I am requesting the CFPB to require TransUnion to conduct a full reinvestigation, obtain proper verification from the furnisher, and correct or delete all data that can not be verified according to FCRA and Metro 2 guidelines.",medium,2025-11-24
CFPB-14500277,CFPB Consumer,Debt collection - Written notification about debt: Didn't receive enough information to verify debt,"I am writing in response to your recent correspondence by reporting to my credit report regarding the alleged debt you claim I owe. As per my rights under the Fair Debt Collection Practices Act ( FDCPA ) and the guidelines outlined by the Consumer Financial Protection Bureau ( CFPB ), I previously requested proper validation of this debt through the credit bureau. However, the information you provided does not constitute sufficient proof of my obligation to pay you. I was never properly notified of the debt in order to dispute it prior to reporting it to my credit report. I dont recall authorizing your company in particular to have a purpose to report with ANY signed agreement. Below is the letter I sent directly to this collection agency. I never received any follow up and my credit has been tarnished as a result of their unlawful collection reporting. 
"" To Whom it May Concern, I am writing to demand that you immediately cease all attempts to collect on the debt you allege I owe. I do not recognize this debt, and I am formally disputing its validity. Under the Fair Debt Collection Practices Act ( FDCPA ), specifically 15 U.S.C. 1692c ( c ), you must cease all further communication with me regarding this alleged debt, including phone calls, letters, emails, and any other forms of contact.

Account number : XXXX, I need to see all paperwork and contracts with my signature that would verify ownership. Remove this account immediately. 

Demand for Documentation In addition to ceasing all collection activity, I demand that you provide me with the following documentation to validate the debt : Agreement with Original Creditor : A copy of the agreement between your agency and the original creditor, authorizing you to collect on this debt. 

Original Agreement : A copy of the original agreement or contract with the original creditor that clearly shows my signature, proving that I agreed to the terms and conditions of the original debt.

Complete Chain of Title : A full and complete chain of title on this account, detailing each transfer or sale of the account from the original creditor to your agency, demonstrating that you have the legal right to collect this debt. 

Contract Confirming Debt Obligation to Your Agency : Any documentation that indicates I entered into an agreement with your agency, showing that I consented to pay this debt specifically to you. 

Additionally, I advise you that the original agreement includes an arbitration clause. Therefore, any legal action or dispute involving this debt should follow the arbitration process outlined in that agreement. Continuing collection attempts without adhering to the terms of the original contract may constitute a breach of contract.

Violations of the FDCPA By sending harassing collection letters, calling me repeatedly, and reporting this disputed debt to the credit bureaus without a permissible purpose, you are in direct violation of several provisions of the FDCPA, including but not limited to : 15 U.S.C. 1692d Prohibition Against Harassment : Repeated calls and letters from your agency constitute harassment, which is strictly prohibited under this section.

15 U.S.C. 1692e False or Misleading Representations : Reporting a disputed and unverified debt to the credit bureaus may be considered a misleading representation, as you have no confirmed basis for collecting this debt.

15 U.S.C. 1692f Prohibition of Unfair Practices : Attempting to collect a debt without proper validation or verification of its legitimacy is an unfair practice under the FDCPA.

15 U.S.C. 1681b Permissible Purpose Requirement : Reporting this alleged debt to credit reporting agencies without a legitimate permissible purpose is a violation of my privacy and rights under the Fair Credit Reporting Act ( FCRA ).

Final Demand for Deletion and Warning of Legal Action If the alleged debt is not fully validated and documented within 30 days, or if it is not deleted from my credit report, I will pursue arbitration or file a lawsuit for your violations of the FDCPA and FCRA. Additionally, I will seek monetary compensation for damages caused by your unlawful and harassing collection practices. 

Thank you for your immediate attention to this matter. I expect a prompt and complete response, along with the deletion of the alleged debt from my credit report within the specified timeframe. '' After sending this, I never received any proper notification prior to this account affecting my credit.",low,2025-07-05
CFPB-7838407,CFPB Consumer,Credit reporting or other personal consumer reports - Problem with a company's investigation into an existing problem: Investigation took more than 30 days,COMPANY NNEVER RESPONDED PASSED 90 days,medium,2023-11-11
CFPB-3254746,CFPB Consumer,Mortgage - Trouble during payment process,"Hello and thank you for offering this service, it is nice to know that there is a government entity that provides a place to be heard and hopefully justice kept inline because of it. 

What happened ; In XXXX XXXX XXXX approved me for a 30 year mortgage. I am in excellent standing with XXXX XXXX. 

XX/XX/XXXX I received a notification of assignment, sale or transfer of my mortgage loan to XXXX XXXX XXXX XXXX XXXX XXXX effective XX/XX/XXXX. 
I don't know what to do with this information. 

- XX/XX/XXXX XXXX XXXX sends me my monthly bill and statement, which I pay. 

- XX/XX/XXXX XXXX XXXX sends me my monthly bill and statement, which I pay. 

- XX/XX/XXXX I received a letter from Select Portfolio, stating that my loan will now be paid to SPS. Confused by this letter and no warning from XXXX XXXX I speak in person with two XXXX XXXX Mortgage agents, they too are confused and after many phone calls determine that I am to send my mortgage payments to SPS. 
I am upset that XXXX XXXX did not inform me. 

XX/XX/XXXX XXXX XXXX sends me my monthly bill and statement. Confused, I pay. 

XX/XX/XXXX I finally receive a transfer of servicing mortgage loan from XXXX XXXX to Select Portfolio Servicing. 

XX/XX/XXXX Select Portfolio servicing sends me a letter of their payment address. 

XX/XX/XXXX Select Portfolio servicing sends me my mortgage bill and statement. Which I pay. 

XX/XX/XXXX I received from XXXX XXXX Mortgage Company, a notice of assignment, sale or transfer of ownership of mortgage loan ; Select Portfolio Servicing. 
I am confused by this letter of yet another possible sale!? 

XX/XX/XXXX Select Portfolio servicing sends me my mortgage statement and bill, which I pay. 

XX/XX/XXXX Select Portfolio servicing sends me my annual escrow account disclosure statement and my new escrow payment amount. 

XX/XX/XXXX Select Portfolio servicing sends me my mortgage statement and bill, which I pay. 

XX/XX/XXXX Select Portfolio servicing sends me a notice of servicing transfer. 
Loan now transferred to XXXX XXXX XXXX XXXX. 

Complaint ; My loan was transferred twice almost three times in less than five months! 
Each time requires time and effort in setting up new company to pay. 
Is this legal, of so why? 
How many people are currently experiencing this and what is the intention behind the buying and selling of home loans? 

Thank you for your time and effort. 

- XXXX XXXX",medium,2019-05-27
